3386576,-0.749641,0.076641,9.716595,0.019985,-0.022116,0.053026,0.007887,0.076998,0.007887,0.076998,0.019985,-0.022116,0.000000,0.000000
3386580,-0.443079,0.071851,9.721385,0.019452,0.017587,0.045565,0.007391,0.045546,0.007967,0.076955,0.019678,0.000699,0.000000,0.000000
3386583,-0.622705,0.119751,9.716595,0.018919,-0.021583,0.047963,0.012324,0.063999,0.008025,0.076919,0.019248,-0.012060,-0.000000,0.000000
3386587,-0.486189,0.067061,9.639954,0.019718,0.018119,0.045565,0.006956,0.050392,0.008103,0.076940,0.019556,0.007771,-0.000000,0.000000
3386592,-0.505349,0.117356,9.647140,0.017054,-0.027446,0.054092,0.012164,0.052335,0.008193,0.076876,0.017723,-0.018153,-0.000000,0.000000
3386597,-0.586780,0.186812,9.711804,0.018119,0.022116,0.044233,0.019233,0.060346,0.008283,0.076909,0.018035,0.011629,-0.000000,0.000000
3386601,-0.376018,0.172441,9.718989,0.019985,-0.030643,0.049029,0.017741,0.038670,0.008362,0.076834,0.019370,-0.017042,-0.000000,0.000000
3386606,-0.878972,0.177231,9.647140,0.022916,0.018919,0.046897,0.018369,0.090861,0.008470,0.076859,0.021998,0.009460,-0.000000,0.000000
3386608,-0.251477,0.182021,9.663904,0.020784,-0.029577,0.053559,0.018833,0.026016,0.008512,0.076783,0.021382,-0.010829,-0.000000,0.000000
3386613,-0.912502,0.098196,9.735755,0.021850,0.025847,0.048230,0.010086,0.093454,0.008620,0.076834,0.021724,0.015779,-0.000000,0.000000
3386618,-0.498164,0.112566,9.704619,0.021051,-0.029044,0.050894,0.011599,0.051288,0.008727,0.076773,0.021231,-0.017416,-0.000000,0.000000
3386623,-0.689766,0.059875,9.642349,0.019452,0.026113,0.046897,0.006210,0.071413,0.008827,0.076822,0.019909,0.014812,-0.000000,0.000000
3386627,-0.364043,0.148491,9.671089,0.018919,-0.027712,0.054625,0.015353,0.037625,0.008905,0.076756,0.019249,-0.014033,-0.000000,0.000000
3386632,-0.761616,0.119751,9.716595,0.016521,0.024515,0.046897,0.012324,0.078223,0.008993,0.076803,0.017246,0.014352,-0.000000,0.000000
3386634,-0.292192,0.165256,9.754915,0.018119,-0.030643,0.050361,0.016939,0.029944,0.009031,0.076720,0.017709,-0.009018,-0.000000,0.000000
3386639,-0.845442,0.138911,9.687855,0.019452,0.021850,0.049296,0.014338,0.087048,0.009125,0.076764,0.018980,0.013371,-0.000000,0.000000
3386644,-0.280217,0.189207,9.728570,0.017320,-0.028511,0.052227,0.019446,0.028796,0.009216,0.076695,0.017770,-0.017687,-0.000000,0.000000
3386648,-0.938848,0.148491,9.747730,0.020784,0.026113,0.044499,0.015232,0.096018,0.009297,0.076751,0.019819,0.011985,-0.000000,0.000000
3386653,-0.162861,0.143701,9.711804,0.021317,-0.028245,0.051960,0.014795,0.016768,0.009401,0.076679,0.020931,-0.017738,-0.000000,0.000000
3386655,-1.058599,0.076641,9.635164,0.020784,0.025047,0.047697,0.007954,0.109429,0.009442,0.076749,0.020853,0.004468,-0.000000,0.000000
3386660,-0.026345,0.165256,9.754915,0.022383,-0.028778,0.053026,0.016939,0.002701,0.009552,0.076664,0.021973,-0.019745,-0.000000,0.000000
3386665,-1.001118,0.043110,9.740545,0.020518,0.022649,0.044499,0.004426,0.102419,0.009657,0.076700,0.020888,0.011654,-0.000000,0.000000
3386669,0.047900,0.158071,9.728570,0.018919,-0.027446,0.051960,0.016247,-0.004924,0.009736,0.076619,0.019566,-0.014935,-0.000000,0.000000
3386674,-1.022673,0.045505,9.659114,0.019185,0.018919,0.047697,0.004711,0.105484,0.009832,0.076653,0.019277,0.010040,-0.000000,0.000000
3386679,-0.186812,0.165256,9.695040,0.015721,-0.024248,0.052227,0.017044,0.019266,0.009919,0.076583,0.016657,-0.015446,-0.000000,0.000000
3386681,-1.029858,0.110171,9.699829,0.016787,0.020784,0.046631,0.011358,0.105777,0.009953,0.076645,0.016726,0.003395,-0.000000,0.000000
3386686,-0.081431,0.129331,9.668694,0.015188,-0.022383,0.051427,0.013375,0.008422,0.010033,0.076572,0.015617,-0.015398,-0.000000,0.000000
3386690,-1.065784,0.093406,9.680670,0.016521,0.018919,0.049562,0.009648,0.109652,0.010098,0.076613,0.016226,0.007823,-0.000000,0.000000
3386695,-0.050295,0.193997,9.738150,0.017320,-0.018119,0.050361,0.019919,0.005165,0.010185,0.076554,0.017048,-0.011396,-0.000000,0.000000
3386700,-0.938848,0.114961,9.742940,0.022916,0.011458,0.046897,0.011799,0.096065,0.010289,0.076574,0.021395,0.005558,-0.000000,0.000000
3386704,-0.002395,0.189207,9.692644,0.021583,-0.018919,0.048496,0.019518,0.000247,0.010377,0.076504,0.021537,-0.011130,-0.000000,0.000000
3386707,-0.950823,0.050295,9.728570,0.022649,0.011191,0.047697,0.005170,0.097426,0.010443,0.076532,0.022186,0.002066,-0.000000,0.000000
3386711,-0.143701,0.201182,9.730965,0.019452,-0.014389,0.051960,0.020671,0.014766,0.010528,0.076479,0.020395,-0.008888,-0.000000,0.000000
3386716,-0.910107,0.091011,9.642349,0.020251,0.007461,0.048230,0.009438,0.094108,0.010629,0.076489,0.020287,0.003160,-0.000000,0.000000
3386721,-0.182021,0.114961,9.685459,0.016787,-0.011724,0.049562,0.011869,0.018791,0.010720,0.076439,0.017698,-0.007959,-0.000000,0.000000
3386725,-0.838257,0.052690,9.702225,0.017320,0.007194,0.048230,0.005431,0.086184,0.010788,0.076453,0.017434,0.002312,-0.000000,0.000000
